,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
117,sotu,24000,899,250,107,107,female,57.0,0.203,0.0,0.013,0.0,0.0,0.203,0.762,0.022,0.0
118,sotu,26000,1146,512,133,138,male,49.0,0.0,0.0,0.012,0.0,0.0,0.0,0.981,0.007,0.0
119,sotu,26000,371,308,132,132,male,59.0,0.0,0.02,0.002,0.0,0.0,0.0,0.977,0.001,0.0
120,sotu,26000,494,65,126,126,male,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121,sotu,26000,235,544,123,123,female,45.0,0.011,0.0,0.164,0.0,0.0,0.011,0.824,0.001,0.0
122,sotu,26000,844,326,117,117,male,27.0,0.408,0.0,0.064,0.001,0.0,0.408,0.524,0.002,0.001
123,sotu,26000,880,104,114,114,male,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981,0.019,0.0
124,sotu,27000,571,103,140,140,male,59.0,0.004,0.004,0.002,0.004,0.0,0.004,0.945,0.008,0.033
125,sotu,27000,276,210,117,117,male,60.0,0.011,0.001,0.002,0.001,0.0,0.011,0.858,0.128,0.0
126,sotu,27000,914,247,109,109,female,57.0,0.412,0.0,0.019,0.0,0.0,0.412,0.566,0.003,0.0
127,sotu,28000,527,221,190,190,male,58.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
128,sotu,29000,546,118,147,147,male,68.0,0.0,0.003,0.001,0.002,0.0,0.0,0.887,0.104,0.002
129,sotu,29000,241,228,120,120,male,60.0,0.01,0.0,0.001,0.0,0.0,0.01,0.988,0.0,0.0
130,sotu,29000,922,260,117,117,female,56.0,0.077,0.0,0.005,0.0,0.0,0.077,0.901,0.017,0.0
131,sotu,30000,546,119,136,136,male,68.0,0.0,0.001,0.0,0.0,0.0,0.0,0.862,0.001,0.135
132,sotu,30000,247,232,118,118,male,59.0,0.093,0.001,0.038,0.004,0.0,0.093,0.714,0.149,0.0
133,sotu,30000,974,274,105,105,female,49.0,0.995,0.0,0.001,0.0,0.0,0.995,0.004,0.0,0.0
134,sotu,31000,504,139,151,151,male,53.0,0.043,0.005,0.002,0.007,0.0,0.043,0.427,0.516,0.0
135,sotu,31000,201,243,125,125,male,58.0,0.908,0.0,0.002,0.0,0.0,0.908,0.085,0.005,0.0
136,sotu,31000,965,276,119,119,female,57.0,0.174,0.0,0.083,0.0,0.0,0.174,0.735,0.007,0.0
137,sotu,32000,34,353,117,117,female,49.0,0.006,0.0,0.002,0.0,0.0,0.006,0.993,0.0,0.0
138,sotu,32000,523,570,109,109,female,44.0,0.003,0.001,0.004,0.006,0.001,0.003,0.731,0.254,0.001
139,sotu,32000,866,307,109,109,female,45.0,0.011,0.001,0.004,0.0,0.0,0.011,0.969,0.015,0.0
140,sotu,32000,528,337,103,103,female,35.0,0.04,0.008,0.004,0.011,0.007,0.04,0.664,0.007,0.259
141,sotu,32000,368,183,103,103,female,34.0,0.054,0.0,0.001,0.0,0.0,0.054,0.943,0.001,0.001
